iter	Passed	Remaining
0	1	115
1	2	107
2	3	105
3	4	97
4	5	96
5	6	94
6	7	93
7	8	92
8	9	92
9	10	94
10	11	95
11	12	94
12	13	92
13	14	90
14	15	89
15	16	88
16	17	86
17	18	85
18	19	84
19	20	82
20	21	81
21	22	80
22	23	79
23	25	80
24	26	79
25	27	79
26	28	77
27	29	76
28	30	75
29	31	74
30	32	72
31	33	71
32	34	70
33	35	69
34	36	67
35	37	66
36	38	65
37	39	64
38	40	63
39	41	62
40	42	61
41	43	59
42	44	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	45
55	57	44
56	58	43
57	59	42
58	60	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	94	7
93	95	6
94	96	5
95	97	4
96	98	3
97	99	2
98	100	1
99	101	0
