iter	Passed	Remaining
0	1195	1194081
1	1261	629736
2	1263	419753
3	1264	314742
4	1265	251744
5	1266	209746
6	1267	179784
7	1268	157342
8	1269	139839
9	1271	125845
10	1272	114379
11	1273	104840
12	1274	96753
13	1275	89821
14	1276	83815
15	1277	78562
16	1278	73926
17	1279	69805
18	1280	66136
19	1282	62850
20	1283	59850
21	1284	57116
22	1285	54622
23	1286	52333
24	1287	50228
25	1288	48284
26	1289	46482
27	1291	44818
28	1292	43261
29	1293	41810
30	1294	40450
31	1295	39192
32	1297	38014
33	1298	36890
34	1299	35837
35	1300	34837
36	1302	33888
37	1303	32988
38	1304	32134
39	1305	31322
40	1306	30550
41	1307	29815
42	1308	29114
43	1309	28445
44	1312	27863
45	1314	27262
46	1316	26689
47	1317	26137
48	1319	25603
49	1320	25091
50	1321	24597
51	1323	24126
52	1326	23700
53	1328	23272
54	1329	22848
55	1331	22436
56	1332	22038
57	1333	21652
58	1334	21281
59	1335	20921
60	1336	20573
61	1337	20236
62	1343	19986
63	1345	19676
64	1347	19379
65	1348	19087
66	1350	18800
67	1351	18524
68	1352	18252
69	1353	17987
70	1357	17763
71	1358	17511
72	1359	17268
73	1360	17028
74	1361	16794
75	1362	16567
76	1364	16352
77	1365	16140
78	1366	15936
79	1368	15734
80	1369	15534
81	1371	15356
82	1372	15161
83	1373	14976
84	1374	14794
85	1375	14617
86	1376	14443
87	1377	14274
88	1378	14108
89	1379	13947
90	1380	13788
91	1381	13634
92	1382	13483
93	1383	13334
94	1385	13198
95	1386	13059
96	1387	12919
97	1388	12782
98	1389	12648
99	1390	12517
100	1391	12388
101	1392	12262
102	1393	12138
103	1394	12016
104	1395	11898
105	1396	11782
106	1397	11667
107	1399	11554
108	1401	11452
109	1402	11344
110	1403	11238
111	1404	11134
112	1405	11032
113	1406	10932
114	1407	10833
115	1409	10738
116	1410	10642
117	1411	10550
118	1413	10461
119	1415	10378
120	1416	10291
121	1417	10201
122	1418	10114
123	1419	10028
124	1420	9944
125	1421	9861
126	1422	9778
127	1423	9698
128	1424	9619
129	1425	9540
130	1426	9462
131	1427	9386
132	1430	9322
133	1431	9249
134	1432	9177
135	1433	9106
136	1434	9036
137	1435	8968
138	1437	8901
139	1438	8834
140	1439	8767
141	1439	8699
142	1441	8636
143	1442	8572
144	1444	8518
145	1445	8456
146	1446	8394
147	1447	8333
148	1448	8273
149	1449	8213
150	1450	8155
151	1451	8097
152	1452	8040
153	1453	7984
154	1454	7928
155	1455	7873
156	1456	7819
157	1457	7765
158	1459	7719
159	1460	7667
160	1461	7614
161	1462	7563
162	1463	7513
163	1464	7465
164	1465	7416
165	1466	7368
166	1467	7319
167	1468	7272
168	1469	7225
169	1470	7178
170	1471	7133
171	1473	7093
172	1474	7048
173	1475	7004
174	1476	6960
175	1477	6917
176	1478	6874
177	1479	6831
178	1480	6790
179	1481	6748
180	1482	6707
181	1483	6666
182	1484	6626
183	1485	6586
184	1486	6547
185	1488	6513
186	1489	6475
187	1490	6437
188	1491	6400
189	1492	6363
190	1493	6325
191	1494	6289
192	1495	6253
193	1496	6217
194	1497	6181
195	1498	6146
196	1499	6111
197	1500	6076
198	1501	6042
199	1503	6013
200	1504	5980
201	1505	5947
202	1506	5914
203	1507	5881
204	1508	5849
205	1509	5817
206	1510	5785
207	1511	5753
208	1512	5722
209	1513	5691
210	1513	5661
211	1514	5630
212	1515	5600
213	1518	5576
214	1519	5547
215	1520	5518
216	1521	5489
217	1522	5460
218	1523	5432
219	1524	5404
220	1525	5376
221	1526	5348
222	1527	5320
223	1528	5293
224	1528	5266
225	1529	5239
226	1530	5213
227	1532	5190
228	1534	5164
229	1535	5139
230	1536	5115
231	1537	5089
232	1538	5065
233	1539	5040
234	1540	5016
235	1541	4991
236	1542	4967
237	1543	4942
238	1544	4918
239	1545	4894
240	1547	4875
241	1549	4851
242	1549	4828
243	1550	4805
244	1551	4782
245	1552	4759
246	1553	4736
247	1554	4714
248	1555	4691
249	1556	4669
250	1557	4647
251	1558	4625
252	1559	4604
253	1560	4582
254	1561	4563
255	1563	4543
256	1564	4522
257	1565	4501
258	1566	4480
259	1567	4460
260	1568	4439
261	1569	4419
262	1570	4399
263	1570	4379
264	1571	4359
265	1572	4340
266	1573	4320
267	1574	4301
268	1577	4285
269	1578	4266
270	1579	4247
271	1580	4228
272	1580	4210
273	1581	4191
274	1582	4172
275	1583	4154
276	1584	4136
277	1585	4118
278	1586	4100
279	1587	4083
280	1588	4065
281	1589	4047
282	1591	4033
283	1592	4015
284	1593	3998
285	1594	3981
286	1595	3964
287	1596	3947
288	1597	3930
289	1598	3913
290	1599	3897
291	1600	3880
292	1601	3864
293	1602	3848
294	1603	3832
295	1604	3816
296	1606	3803
297	1607	3787
298	1608	3771
299	1609	3756
300	1610	3740
301	1611	3725
302	1612	3709
303	1613	3694
304	1614	3679
305	1615	3664
306	1616	3649
307	1617	3634
308	1618	3620
309	1619	3605
310	1621	3593
311	1623	3579
312	1624	3565
313	1625	3551
314	1626	3537
315	1627	3523
316	1629	3509
317	1630	3495
318	1631	3482
319	1632	3468
320	1633	3454
321	1634	3440
322	1635	3426
323	1636	3415
324	1637	3401
325	1638	3388
326	1639	3375
327	1640	3361
328	1641	3348
329	1642	3335
330	1643	3322
331	1644	3309
332	1645	3296
333	1646	3283
334	1647	3270
335	1648	3257
336	1649	3245
337	1651	3235
338	1652	3222
339	1653	3210
340	1654	3197
341	1655	3185
342	1656	3173
343	1657	3161
344	1659	3149
345	1660	3138
346	1661	3127
347	1663	3115
348	1664	3104
349	1666	3095
350	1667	3083
351	1668	3072
352	1670	3061
353	1671	3049
354	1672	3038
355	1673	3027
356	1674	3015
357	1675	3004
358	1676	2993
359	1677	2982
360	1678	2971
361	1680	2962
362	1681	2951
363	1682	2940
364	1683	2929
365	1684	2918
366	1686	2908
367	1686	2897
368	1687	2886
369	1688	2875
370	1689	2865
371	1690	2854
372	1691	2843
373	1692	2833
374	1693	2823
375	1695	2814
376	1696	2804
377	1697	2793
378	1698	2783
379	1699	2773
380	1700	2763
381	1701	2752
382	1702	2742
383	1703	2732
384	1704	2722
385	1705	2713
386	1706	2703
387	1707	2693
388	1708	2683
389	1710	2675
390	1711	2666
391	1712	2656
392	1713	2647
393	1714	2637
394	1715	2628
395	1716	2618
396	1717	2609
397	1718	2599
398	1719	2590
399	1720	2580
400	1721	2571
401	1722	2562
402	1723	2553
403	1725	2545
404	1726	2536
405	1727	2527
406	1728	2518
407	1729	2510
408	1731	2501
409	1732	2492
410	1733	2484
411	1734	2475
412	1735	2466
413	1736	2457
414	1737	2449
415	1738	2440
416	1740	2433
417	1741	2425
418	1742	2416
419	1743	2407
420	1744	2399
421	1745	2390
422	1746	2382
423	1747	2373
424	1748	2365
425	1749	2357
426	1750	2348
427	1751	2340
428	1752	2332
429	1753	2324
430	1755	2317
431	1756	2309
432	1758	2302
433	1759	2294
434	1760	2286
435	1760	2277
436	1761	2269
437	1762	2261
438	1763	2254
439	1764	2246
440	1765	2238
441	1766	2230
442	1767	2222
443	1768	2215
444	1770	2208
445	1771	2200
446	1772	2193
447	1773	2185
448	1774	2177
449	1775	2170
450	1776	2162
451	1777	2154
452	1778	2147
453	1779	2139
454	1780	2132
455	1781	2125
456	1782	2117
457	1783	2110
458	1785	2104
459	1786	2097
460	1787	2089
461	1788	2082
462	1789	2075
463	1790	2068
464	1791	2060
465	1792	2053
466	1793	2046
467	1794	2039
468	1795	2032
469	1796	2025
470	1797	2018
471	1798	2011
472	1800	2005
473	1801	1998
474	1802	1991
475	1803	1984
476	1804	1978
477	1805	1971
478	1806	1964
479	1807	1957
480	1808	1951
481	1809	1944
482	1810	1937
483	1811	1931
484	1812	1924
485	1813	1917
486	1815	1912
487	1816	1905
488	1817	1899
489	1818	1893
490	1819	1886
491	1821	1880
492	1822	1874
493	1823	1867
494	1824	1861
495	1825	1854
496	1826	1848
497	1827	1841
498	1828	1835
499	1830	1830
500	1831	1823
501	1832	1817
502	1833	1811
503	1834	1804
504	1835	1798
505	1836	1792
506	1836	1786
507	1837	1780
508	1839	1774
509	1840	1768
510	1841	1761
511	1842	1755
512	1843	1749
513	1845	1744
514	1846	1738
515	1847	1732
516	1848	1726
517	1849	1720
518	1849	1714
519	1850	1708
520	1851	1702
521	1853	1697
522	1854	1691
523	1855	1685
524	1856	1679
525	1857	1673
526	1859	1669
527	1860	1663
528	1861	1657
529	1862	1651
530	1863	1646
531	1864	1640
532	1865	1634
533	1866	1629
534	1867	1623
535	1868	1617
536	1869	1612
537	1870	1606
538	1871	1600
539	1872	1595
540	1874	1590
541	1875	1584
542	1876	1579
543	1877	1573
544	1878	1568
545	1879	1562
546	1880	1557
547	1881	1552
548	1882	1546
549	1883	1541
550	1884	1535
551	1885	1530
552	1886	1525
553	1887	1519
554	1889	1514
555	1890	1509
556	1891	1504
557	1892	1498
558	1893	1493
559	1894	1488
560	1895	1483
561	1896	1477
562	1897	1472
563	1898	1467
564	1899	1462
565	1900	1456
566	1900	1451
567	1901	1446
568	1904	1442
569	1905	1437
570	1906	1432
571	1907	1427
572	1909	1422
573	1911	1418
574	1912	1413
575	1913	1408
576	1914	1403
577	1915	1398
578	1916	1393
579	1917	1388
580	1919	1384
581	1920	1379
582	1921	1374
583	1922	1369
584	1924	1364
585	1925	1360
586	1926	1355
587	1927	1350
588	1928	1345
589	1929	1340
590	1930	1335
591	1931	1330
592	1932	1326
593	1934	1321
594	1935	1317
595	1936	1312
596	1937	1307
597	1938	1303
598	1939	1298
599	1940	1293
600	1941	1288
601	1942	1283
602	1943	1279
603	1943	1274
604	1944	1269
605	1945	1265
606	1946	1260
607	1948	1256
608	1949	1251
